PW000126,In the Second Peloponnesian War> what Athenian leader's strategy was to rely on the fleet and avoid open battle?,PERICLES
PW000127,What Athenian leader rose to prominence after Pericles' death?,CLEON
PW000128,What decisive battle took place in 425 BC?,THE BATTLE OF PYLOS
PW000129,What was the name of the island near Pylos where the Athenians trapped a group of Spartan soldiers?,SPHACTERIA
PW000130,Which battle during the Second Peloponnesian War was notable for the surrender of Spartan hoplites?,THE BATTLE OF SPHACTERIA
PW000131,What Athenian colony in Thrace was captured by the Spartan general Brasidas?,AMPHIPOLIS
PW000132,Which battle resulted in the deaths of both Cleon and Brasidas?,THE BATTLE OF AMPHIPOLIS
PW000133,What peace treaty was signed in 421 BC?,THE PEACE OF NICIAS
PW000134,What powerful Peloponnesian state remained independent of Lacedaemon and forged an alliance with Argos?,MANTINEA
PW000135,What was the largest land battle within Greece during the Peloponnesian War?,THE BATTLE OF MANTINEA
PW000136,What year did Athens invade the neutral island of Melos?,416 BC
PW000137,What main city in Sicily attacked an Athenian ally> prompting the Sicilian Expedition?,SYRACUSE
PW000138,Who persuaded the Athenians to launch the Sicilian Expedition?,ALCIBIADES
PW000139,To what city did Alcibiades defect after being recalled to Athens for trial?,SPARTA
PW000140,Who was placed in charge of the Sicilian Expedition after Alcibiades' defection?,NICIAS
PW000141,What location near Athens did the Spartans fortify on the advice of Alcibiades?,DECELEA
PW000142,What Athenian general> along with Nicias> was defeated in Sicily during the Second Peloponnesian War?,DEMOSTHENES
PW000143,What term refers to the final phase of the Second Peloponnesian War?,THE DECELEAN WAR
PW000144,What is another name for the Decelean War?,THE IONIAN WAR
PW000145,During the Second Peloponnesian War> which empire intervened in support of Sparta?,THE PERSIAN EMPIRE
PW000146,What Spartan general led the fleet that defeated the Athenians at Aegospotami?,LYSANDER
PW000147,What year did the Athenians surrender to the Spartans?,404 BC
PW000148,What group of oligarchs briefly ruled Athens after the Second Peloponnesian War?,THE THIRTY TYRANTS
PW000149,What Athenian leader helped restore democracy to Athens in 403 BC?,THRASYBULUS
PW000150,What city-state emerged as the leading power in Greece after the Second Peloponnesian War?,SPARTA
