C000101,Write a description for the Latin term **alae**.,alcoves on either side of the atrium
C000102,Find a Latin term that matches the following description: **court with columns surrounding the hortus (garden)**,peristylium
C000103,Write a description for the Latin term **peristylium**.,court with columns surrounding the hortus (garden)
C000104,Find a Latin term that matches the following description: **entranceway from the street to the atrium**,vestibulum
C000105,Write a description for the Latin term **vestibulum**.,entranceway from the street to the atrium
C000106,Find a Latin term that matches the following description: **wax figures of faces of ancestors stored in the alae of the atrium**,imagines
C000107,Write a description for the Latin term **imagines**.,wax figures of faces of ancestors stored in the alae of the atrium
C000108,Find a Latin term that matches the following description: **bathroom**,latrinum
C000109,Write a description for the Latin term **latrinum**.,bathroom
C000110,Find a Latin term that matches the following description: **dining room**,triclinium
C000111,Write a description for the Latin term **triclinium**.,dining room
C000112,Find a Latin term that matches the following description: **bedroom **,cubiculum
C000113,Write a description for the Latin term **cubiculum**.,bedroom
C000114,Find a Latin term that matches the following description: **stool**,sella
C000115,Write a description for the Latin term **sella**.,stool
C000116,Find a Latin term that matches the following description: **stiff high-backed chair**,solium
C000117,Write a description for the Latin term **solium**.,stiff high-backed chair
C000118,Find a Latin term that matches the following description: **table**,mensa
C000119,Write a description for the Latin term **mensa**.,table
C000120,Find a Latin term that matches the following description: **lamp**,lucerna
C000121,Write a description for the Latin term **lucerna**.,lamp
C000122,Find a Latin term that matches the following description: **lamp stand**,candelabra
C000123,Write a description for the Latin term **candelabra**.,lamp stand
C000124,Find a Latin term that matches the following description: **water clock (marked the hours of the night as well as day and could be used in the house)**,clepsydra
C000125,Write a description for the Latin term **clepsydra**.,water clock (marked the hours of the night as well as day and could be used in the house)
C000126,Find a Latin term that matches the following description: **sun-dial (measured the hours of a day by the shadow of a stick or pin)**,solarium
C000127,Write a description for the Latin term **solarium**.,sun-dial (measured the hours of a day by the shadow of a stick or pin)
C000128,Find a Latin term that matches the following description: **toga of average citizen; also called toga pura> toga libera; plain white**,toga virilis
C000129,Write a description for the Latin term **toga virilis**.,toga of average citizen; also called toga pura> toga libera; plain white
C000130,Find a Latin term that matches the following description: **whitened with chalk> this toga was worn by a candidate for office; also called toga splendens**,toga candida
C000131,Write a description for the Latin term **toga candida**.,whitened with chalk> this toga was worn by a candidate for office; also called toga splendens
C000132,Find a Latin term that matches the following description: **worn by curule magistrates (consuls> praetors> quaestors)> censors> dictators & boys; had a purple border**,toga praetexta
C000133,Write a description for the Latin term **toga praetexta**.,worn by curule magistrates (consuls> praetors> quaestors)> censors> dictators & boys; had a purple border
C000134,Find a Latin term that matches the following description: **worn by victorious general in triumphal procession; entirely crimson with embroidered gold**,toga picta
C000135,Write a description for the Latin term **toga picta**.,worn by victorious general in triumphal procession; entirely crimson with embroidered gold
C000136,Find a Latin term that matches the following description: **dingy toga worn by persons in mourning**,toga pulla
C000137,Write a description for the Latin term **toga pulla**.,dingy toga worn by persons in mourning
C000138,Find a Latin term that matches the following description: **overcoat wrap put over toga to protect against weather> dust> etc.**,lacerna
C000139,Write a description for the Latin term **lacerna**.,overcoat wrap put over toga to protect against weather> dust> etc.
C000140,Find a Latin term that matches the following description: **heavier wrap made of wool> to wear outside of toga**,paenula
C000141,Write a description for the Latin term **paenula**.,heavier wrap made of wool> to wear outside of toga
C000142,Find a Latin term that matches the following description: **slippers> sandals; had a leather sole**,soleae
C000143,Write a description for the Latin term **soleae**.,slippers> sandals; had a leather sole
C000144,Find a Latin term that matches the following description: **shoes**,calcei
C000145,Write a description for the Latin term **calcei**.,shoes
C000146,Find a Latin term that matches the following description: **wide-brimmed travelling hat**,petasus
C000147,Write a description for the Latin term **petasus**.,wide-brimmed travelling hat
C000148,Find a Latin term that matches the following description: **distinctive dress of a Roman matron**,stola
C000149,Write a description for the Latin term **stola**.,distinctive dress of a Roman matron
C000150,Find a Latin term that matches the following description: **woman's girdle**,zona
C000151,Write a description for the Latin term **zona**.,woman's girdle
C000152,Find a Latin term that matches the following description: **drycleaner; often used urine to clean togas**,fullo
C000153,Write a description for the Latin term **fullo**.,drycleaner; often used urine to clean togas
C000154,Find a Latin term that matches the following description: **cone shaped cap of freedom**,pilleus
C000155,Write a description for the Latin term **pilleus**.,cone shaped cap of freedom
C000156,Find a Latin term that matches the following description: **refers to garments that were put on or draped over; chief article was tunic**,indutus
C000157,Write a description for the Latin term **indutus**.,refers to garments that were put on or draped over; chief article was tunic
C000158,Find a Latin term that matches the following description: **refers to garments that were wrapped around**,amictus
C000159,Write a description for the Latin term **amictus**.,refers to garments that were wrapped around
C000160,Find a Latin term that matches the following description: **first emperor to wear a beard**,Hadrian
C000161,Write a description for the Latin term **Hadrian**.,first emperor to wear a beard
C000162,Find a Latin term that matches the following description: **first Roman to shave daily**,Scipio Aemilianus
C000163,Write a description for the Latin term **Scipio Aemilianus**.,first Roman to shave daily
C000164,Find a Latin term that matches the following description: **deli**,thermopolium
C000165,Write a description for the Latin term **thermopolium**.,deli
C000166,Find a Latin term that matches the following description: **peach**,malum persicum (persian apple)
C000167,Write a description for the Latin term **malum persicum (persian apple)**.,peach
C000168,Find a Latin term that matches the following description: **apricot**,malum armeniacum (Armenian apple)
C000169,Write a description for the Latin term **malum armeniacum (Armenian apple)**.,apricot
C000170,Find a Latin term that matches the following description: **pomegranate**,malum punicum (Phoenician apple)
C000171,Write a description for the Latin term **malum punicum (Phoenician apple)**.,pomegranate
C000172,Find a Latin term that matches the following description: **grain mill**,mola
C000173,Write a description for the Latin term **mola**.,grain mill
C000174,Find a Latin term that matches the following description: **lower millstone of a grain mill**,meta
C000175,Write a description for the Latin term **meta**.,lower millstone of a grain mill
C000176,Find a Latin term that matches the following description: **upper millstone of a grain mill**,catillus
C000177,Write a description for the Latin term **catillus**.,upper millstone of a grain mill
C000178,Find a Latin term that matches the following description: **dark bitter oil which flows from first pressing of olives; oleum is the edible olive oil**,amurca
C000179,Write a description for the Latin term **amurca**.,dark bitter oil which flows from first pressing of olives; oleum is the edible olive oil
C000180,Find a Latin term that matches the following description: **fermented wine**,vinum
C000181,Write a description for the Latin term **vinum**.,fermented wine
C000182,Find a Latin term that matches the following description: **drink made of wine and honey**,mulsum
C000183,Write a description for the Latin term **mulsum**.,drink made of wine and honey
C000184,Find a Latin term that matches the following description: **drink made of water and honey**,mulsa
C000185,Write a description for the Latin term **mulsa**.,drink made of water and honey
C000186,Find a Latin term that matches the following description: **fermented fish sauce**,garum
C000187,Write a description for the Latin term **garum**.,fermented fish sauce
C000188,Find a Latin term that matches the following description: **a fermented fish sauce similar to garum**,liquamen
C000189,Write a description for the Latin term **liquamen**.,a fermented fish sauce similar to garum
C000190,Find a Latin term that matches the following description: **doormouse; a delicacy**,glis
C000191,Write a description for the Latin term **glis**.,doormouse; a delicacy
C000192,Find a Latin term that matches the following description: **breakfast**,ientaculum
C000193,Write a description for the Latin term **ientaculum**.,breakfast
C000194,Find a Latin term that matches the following description: **lunch**,prandium
C000195,Write a description for the Latin term **prandium**.,lunch
C000196,Find a Latin term that matches the following description: **chief meal; dinner**,cena
C000197,Write a description for the Latin term **cena**.,chief meal; dinner
C000198,Find a Latin term that matches the following description: **appetizer **,gustatio
C000199,Write a description for the Latin term **gustatio**.,appetizer
C000200,Find a Latin term that matches the following description: **light evening meal (sometimes the cena was eaten at midday); also called merenda**,vesperna
C000201,Write a description for the Latin term **vesperna**.,light evening meal (sometimes the cena was eaten at midday); also called merenda
C000202,Find a Latin term that matches the following description: **dining room**,triclinium
C000203,Write a description for the Latin term **triclinium**.,dining room
C000204,Find a Latin term that matches the following description: **couch for dining**,lectus
C000205,Write a description for the Latin term **lectus**.,couch for dining
C000206,Find a Latin term that matches the following description: **appetizers of cena> also called antecena**,gustus
C000207,Write a description for the Latin term **gustus**.,appetizers of cena> also called antecena
C000208,Find a Latin term that matches the following description: **dessert**,secunda mensa (second table)
C000209,Write a description for the Latin term **secunda mensa (second table)**.,dessert
C000210,Find a Latin term that matches the following description: **from the egg to the apples (beginning to end of a Roman meal)**,ab ovo usque ad mala
C000211,Write a description for the Latin term **ab ovo usque ad mala**.,from the egg to the apples (beginning to end of a Roman meal)
C000212,Find a Latin term that matches the following description: **dinner party> also called symposium**,convivium
C000213,Write a description for the Latin term **convivium**.,dinner party> also called symposium
C000214,Find a Latin term that matches the following description: **`master of drinking`> decides how strong the alcohol will be (also rex bibendi> arbiter bibendi) determined by whoever achieved a Venus throw**,magister bibendi
C000215,Write a description for the Latin term **magister bibendi**.,master of drinking> decides how strong the alcohol will be (also rex bibendi> arbiter bibendi) determined by whoever achieved a Venus throw
C000216,Find a Latin term that matches the following description: **mock naval battles performed in a flooded amphitheater**,Naumachiae
C000217,Write a description for the Latin term **Naumachiae**.,mock naval battles performed in a flooded amphitheater
C000218,Find a Latin term that matches the following description: **large Roman baths**,balneae or thermae
C000219,Write a description for the Latin term **balneae or thermae**.,large Roman baths
C000220,Find a Latin term that matches the following description: **dressing room in bath**,apodyterium
C000221,Write a description for the Latin term **apodyterium**.,dressing room in bath
C000222,Find a Latin term that matches the following description: **warm room**,tepidarium
C000223,Write a description for the Latin term **tepidarium**.,warm room
C000224,Find a Latin term that matches the following description: **hot room**,caldarium
C000225,Write a description for the Latin term **caldarium**.,hot room
C000226,Find a Latin term that matches the following description: **cold bath room **,frigidarium
C000227,Write a description for the Latin term **frigidarium**.,cold bath room
C000228,Find a Latin term that matches the following description: **room for rubbing and anointing with oil**,unctorium
C000229,Write a description for the Latin term **unctorium**.,room for rubbing and anointing with oil
C000230,Find a Latin term that matches the following description: **steam room**,aconicum
C000231,Write a description for the Latin term **aconicum**.,steam room
C000232,Find a Latin term that matches the following description: **exercise grounds; held a piscina (cold pool) and a destrictarium (room for scraping off sweat and dirt)**,palaestra
C000233,Write a description for the Latin term **palaestra**.,exercise grounds; held a piscina (cold pool) and a destrictarium (room for scraping off sweat and dirt)
C000234,Find a Latin term that matches the following description: **`scraper` instrument used to scrape oil off skin**,strigilis
C000235,Write a description for the Latin term **strigilis**.,scraper instrument used to scrape oil off skin
C000236,Find a Latin term that matches the following description: **knucklebones**,tali
C000237,Write a description for the Latin term **tali**.,knucklebones
C000238,Find a Latin term that matches the following description: **dice**,tesserae
C000239,Write a description for the Latin term **tesserae**.,dice
C000240,Find a Latin term that matches the following description: **four tali all with the same number**,Venus throw
C000241,Write a description for the Latin term **Venus throw**.,four tali all with the same number
C000242,Find a Latin term that matches the following description: **four tali all with different numbers**,Vulture throw
C000243,Write a description for the Latin term **Vulture throw**.,four tali all with different numbers
C000244,Find a Latin term that matches the following description: **box that holds tali**,fritillus
C000245,Write a description for the Latin term **fritillus**.,box that holds tali
C000246,Find a Latin term that matches the following description: **starting gates of chariot races**,carceres (prisons)
C000247,Write a description for the Latin term **carceres (prisons)**.,starting gates of chariot races
C000248,Find a Latin term that matches the following description: **dividing fence or wall which stretched across the middle of the circus**,spina (backbone)
C000249,Write a description for the Latin term **spina (backbone)**.,dividing fence or wall which stretched across the middle of the circus
C000250,Find a Latin term that matches the following description: **turning posts**,metae
C000251,Write a description for the Latin term **metae**.,turning posts
C000252,Find a Latin term that matches the following description: **1 LAP; ONE LAP**,spatium or curriculum
C000253,Write a description for the Latin term **spatium or curriculum**.,1 LAP; ONE LAP
C000254,Find a Latin term that matches the following description: ** the entire course in a chariot race**,missus
C000255,Write a description for the Latin term **missus**.,the entire course in a chariot race
C000256,Find a Latin term that matches the following description: **chalk starting line used in later times**,linea alba
C000257,Write a description for the Latin term **linea alba**.,chalk starting line used in later times
C000258,Find a Latin term that matches the following description: **napkin dropped to start chariot race**,mappa
C000259,Write a description for the Latin term **mappa**.,napkin dropped to start chariot race
C000260,Find a Latin term that matches the following description: **giver of games**,dator ludorum
C000261,Write a description for the Latin term **dator ludorum**.,giver of games
C000262,Find a Latin term that matches the following description: **racing syndicate**,factio
C000263,Write a description for the Latin term **factio**.,racing syndicate
C000264,Find a Latin term that matches the following description: **hunts for entertainment in the Circus**,venationes
C000265,Write a description for the Latin term **venationes**.,hunts for entertainment in the Circus
C000266,Find a Latin term that matches the following description: **mock naval battle**,naumachia
C000267,Write a description for the Latin term **naumachia**.,mock naval battle
C000268,Find a Latin term that matches the following description: **trainer of gladiators**,lanista
C000269,Write a description for the Latin term **lanista**.,trainer of gladiators
C000270,Find a Latin term that matches the following description: **wooden sword used in training gladiators> given to a gladiator if he won his freedom from slavery**,rudis
C000271,Write a description for the Latin term **rudis**.,wooden sword used in training gladiators> given to a gladiator if he won his freedom from slavery
C000272,Find a Latin term that matches the following description: **gate through which the bodies of dead gladiators exited**,Porta Libitinensis
C000273,Write a description for the Latin term **Porta Libitinensis**.,gate through which the bodies of dead gladiators exited
C000274,Find a Latin term that matches the following description: **gate through which victor left the circus**,Porta Triumphalis
C000275,Write a description for the Latin term **Porta Triumphalis**.,gate through which victor left the circus
C000276,Find a Latin term that matches the following description: **dramatic stage performances given in the theater**,ludi scaenici
C000277,Write a description for the Latin term **ludi scaenici**.,dramatic stage performances given in the theater
C000278,Find a Latin term that matches the following description: **chariot races and other exhibitions given in a circus**,ludi circenses
C000279,Write a description for the Latin term **ludi circenses**.,chariot races and other exhibitions given in a circus
C000280,Find a Latin term that matches the following description: **fought from a chariot**,essedarius
C000281,Write a description for the Latin term **essedarius**.,fought from a chariot
C000282,Find a Latin term that matches the following description: **gladiator making his first public appearance**,tiro
C000283,Write a description for the Latin term **tiro**.,gladiator making his first public appearance
C000284,Find a Latin term that matches the following description: **blindfolded gladiator**,andabata
C000285,Write a description for the Latin term **andabata**.,blindfolded gladiator
C000286,Find a Latin term that matches the following description: **two-sworded gladiator**,dimachaerus
C000287,Write a description for the Latin term **dimachaerus**.,two-sworded gladiator
C000288,Find a Latin term that matches the following description: **gladiator armed with lasso**,laquaeatores
C000289,Write a description for the Latin term **laquaeatores**.,gladiator armed with lasso
C000290,Find a Latin term that matches the following description: **gladiator armed with net and fuscina (trident)> always fought a secutor**,retiarius
C000291,Write a description for the Latin term **retiarius**.,gladiator armed with net and fuscina (trident)> always fought a secutor
C000292,Find a Latin term that matches the following description: **heavy-armed> carried scutum (heavy oblong shield)**,Samnite/hoplomachus
C000293,Write a description for the Latin term **Samnite/hoplomachus**.,heavy-armed> carried scutum (heavy oblong shield)
C000294,Find a Latin term that matches the following description: **lighter armed> carrying a parma (small shield) and a curved sword**,Thracian gladiators
C000295,Write a description for the Latin term **Thracian gladiators**.,lighter armed> carrying a parma (small shield) and a curved sword
C000296,Find a Latin term that matches the following description: **ornament like a fish on their helmet**,Murmillones
C000297,Write a description for the Latin term **Murmillones**.,ornament like a fish on their helmet
C000298,Find a Latin term that matches the following description: **mock combat with blunt weapons before actual show**,prolusio
C000299,Write a description for the Latin term **prolusio**.,mock combat with blunt weapons before actual show
C000300,Find a Latin term that matches the following description: **common greeting by gladiators to the editor muneris (giver of games)**,nos morituri te salutamus (`we who are about to die salute you`)
C000301,Write a description for the Latin term **nos morituri te salutamus (`we who are about to die salute you`)**.,common greeting by gladiators to the editor muneris (giver of games)
C000302,Find a Latin term that matches the following description: **signal for one gladiator to kill another**,pollice verso
C000303,Write a description for the Latin term **pollice verso**.,signal for one gladiator to kill another
C000304,Find a Latin term that matches the following description: **someone without aristocratic family**,novus homo (`new man`)
C000305,Write a description for the Latin term **novus homo (`new man`)**.,someone without aristocratic family
C000306,Find a Latin term that matches the following description: **sequence of public offices a successful politician might ascend: quaestor (treasurer)> then praetor (judge)> then consul (chief executive)**,cursus honorum
C000307,Write a description for the Latin term **cursus honorum**.,sequence of public offices a successful politician might ascend: quaestor (treasurer)> then praetor (judge)> then consul (chief executive)
C000308,Find a Latin term that matches the following description: **chief magistrates**,consuls
C000309,Write a description for the Latin term **consuls**.,chief magistrates
C000310,Find a Latin term that matches the following description: **attendants of the consuls**,lictor
C000311,Write a description for the Latin term **lictor**.,attendants of the consuls
C000312,Find a Latin term that matches the following description: **judges**,praetors
C000313,Write a description for the Latin term **praetors**.,judges
C000314,Find a Latin term that matches the following description: **treasurers**,questors
C000315,Write a description for the Latin term **questors**.,treasurers
C000316,Find a Latin term that matches the following description: **administrators of games and other public services**,aediles
C000317,Write a description for the Latin term **aediles**.,administrators of games and other public services
C000318,Find a Latin term that matches the following description: **performed census**,censor
C000319,Write a description for the Latin term **censor**.,performed census
C000320,Find a Latin term that matches the following description: **called in times of severe emergency to assume consular authority**,dictator
C000321,Write a description for the Latin term **dictator**.,called in times of severe emergency to assume consular authority
C000322,Find a Latin term that matches the following description: **filled in if both consuls were killed or resigned**,consul suffectus
C000323,Write a description for the Latin term **consul suffectus**.,filled in if both consuls were killed or resigned
C000324,Find a Latin term that matches the following description: **empty tomb for if a body was lost at sea or otherwise unrecovered**,cenotaphium
C000325,Write a description for the Latin term **cenotaphium**.,empty tomb for if a body was lost at sea or otherwise unrecovered
C000326,Find a Latin term that matches the following description: **graves for the pauper class on the Esquiline Hill**,puticuli
C000327,Write a description for the Latin term **puticuli**.,graves for the pauper class on the Esquiline Hill
C000328,Find a Latin term that matches the following description: **private burial plots**,ustrina
C000329,Write a description for the Latin term **ustrina**.,private burial plots
C000330,Find a Latin term that matches the following description: **features tablets of the Res Gestae> records of Augustus' accomplishments**,Mausoleum of Augustus
C000331,Write a description for the Latin term **Mausoleum of Augustus**.,features tablets of the Res Gestae> records of Augustus' accomplishments
C000332,Find a Latin term that matches the following description: **underground chambers which stored funeral urns (resembled a dovecote)**,columbaria
C000333,Write a description for the Latin term **columbaria**.,underground chambers which stored funeral urns (resembled a dovecote)
C000334,Find a Latin term that matches the following description: **undertaker**,libitinarius or designator
C000335,Write a description for the Latin term **libitinarius or designator**.,undertaker
C000336,Find a Latin term that matches the following description: **associations for meeting burial expenses of its members**,collegia funeraticia
C000337,Write a description for the Latin term **collegia funeraticia**.,associations for meeting burial expenses of its members
C000338,Find a Latin term that matches the following description: **process by which the eldest son bent over body of deceased father calling him by name> to recall to life**,conclamatio
C000339,Write a description for the Latin term **conclamatio**.,process by which the eldest son bent over body of deceased father calling him by name> to recall to life
C000340,Find a Latin term that matches the following description: **funeral oration**,laudatio
C000341,Write a description for the Latin term **laudatio**.,funeral oration
C000342,Find a Latin term that matches the following description: **funeral couch in atrium on which dead body was placed**,lectus funebris
C000343,Write a description for the Latin term **lectus funebris**.,funeral couch in atrium on which dead body was placed
C000344,Find a Latin term that matches the following description: **funeral pyre**,rogus
C000345,Write a description for the Latin term **rogus**.,funeral pyre
C000346,Find a Latin term that matches the following description: **grave in which a body was burned**,bustum
C000347,Write a description for the Latin term **bustum**.,grave in which a body was burned
C000348,Find a Latin term that matches the following description: **funeral for young children**,funus acerbum
C000349,Write a description for the Latin term **funus acerbum**.,funeral for young children
C000350,Find a Latin term that matches the following description: **funeral for plebeians**,funus plebeium
C000351,Write a description for the Latin term **funus plebeium**.,funeral for plebeians
C000352,Find a Latin term that matches the following description: **priests of special gods**,flamines
C000353,Write a description for the Latin term **flamines**.,priests of special gods
C000354,Find a Latin term that matches the following description: **priest of Jupiter**,Dialis
C000355,Write a description for the Latin term **Dialis**.,priest of Jupiter
C000356,Find a Latin term that matches the following description: **priest of Mars**,Martialis
C000357,Write a description for the Latin term **Martialis**.,priest of Mars
C000358,Find a Latin term that matches the following description: **priest of Quirinus**,Quirinalis
C000359,Write a description for the Latin term **Quirinalis**.,priest of Quirinus
C000360,Find a Latin term that matches the following description: **head priest**,Pontifex Maximus
C000361,Write a description for the Latin term **Pontifex Maximus**.,head priest
C000362,Find a Latin term that matches the following description: **dancing priests of Mars**,Salii
C000363,Write a description for the Latin term **Salii**.,dancing priests of Mars
C000364,Find a Latin term that matches the following description: **dancing priests of Quirinus**,Salii Collini
C000365,Write a description for the Latin term **Salii Collini**.,dancing priests of Quirinus
C000366,Find a Latin term that matches the following description: **interpreted the will of the gods by observing bird flight patterns**,augures
C000367,Write a description for the Latin term **augures**.,interpreted the will of the gods by observing bird flight patterns
C000368,Find a Latin term that matches the following description: **priests in charge of the Sybilline Books**,quindecemviri
C000369,Write a description for the Latin term **quindecemviri**.,priests in charge of the Sybilline Books
C000370,Find a Latin term that matches the following description: **college of 20 priests responsible for declaration of war**,fetiales
