A000000,What does the Greek word **aeido (αειδω)** mean?,to sing
A000169,What is the meaning of the Greek root of the word **parlor**?,throw... ballo (βαλλω)
A000170,What is the Greek root of the word **parole**?,ballo (βαλλω)> throw
A000171,What is the meaning of the Greek root of the word **parole**?,throw... ballo (βαλλω)
A000172,What is the Greek root of the word **problem**?,ballo (βαλλω)> throw
A000173,What is the meaning of the Greek root of the word **problem**?,throw... ballo (βαλλω)
A000174,What is the Greek root of the word **symbol**?,ballo (βαλλω)> throw
A000175,What is the meaning of the Greek root of the word **symbol**?,throw... ballo (βαλλω)
A000176,What does the Greek word **biblos (βιβλος)** mean?,book
A000177,What Greek word means **book**?,biblos (βιβλος)
A000178,What is the Greek root of the word **Bible**?,biblos (βιβλος)> book
A000179,What is the meaning of the Greek root of the word **Bible**?,book... biblos (βιβλος)
A000180,What is the Greek root of the word **bibliophile**?,biblos (βιβλος)> book
A000181,What is the meaning of the Greek root of the word **bibliophile**?,book... biblos (βιβλος)
A000182,What is the Greek root of the word **bibliophobe**?,biblos (βιβλος)> book
A000183,What is the meaning of the Greek root of the word **bibliophobe**?,book... biblos (βιβλος)
A000184,What does the Greek word **bios (βιος)** mean?,life
A000185,What Greek word means **life**?,bios (βιος)
A000186,What is the Greek root of the word **amphibian**?,bios (βιος)> life
A000187,What is the meaning of the Greek root of the word **amphibian**?,life... bios (βιος)
A000188,What is the Greek root of the word **biology**?,bios (βιος)> life
A000189,What is the meaning of the Greek root of the word **biology**?,life... bios (βιος)
A000190,What is the Greek root of the word **biomass**?,bios (βιος)> life
A000191,What is the meaning of the Greek root of the word **biomass**?,life... bios (βιος)
A000192,What does the Greek word **gamos (γαμος)** mean?,wedding> marriage
A000193,What Greek word means **wedding> marriage**?,gamos (γαμος)
A000194,What is the Greek root of the word **bigamy**?,gamos (γαμος)> wedding> marriage
A000195,What is the meaning of the Greek root of the word **bigamy**?,wedding> marriage... gamos (γαμος)
A000196,What is the Greek root of the word **polygamy**?,gamos (γαμος)> wedding> marriage
A000197,What is the meaning of the Greek root of the word **polygamy**?,wedding> marriage... gamos (γαμος)
A000198,What is the Greek root of the word **monogamous**?,monos (μονος)> alone; gamos (γαμος)> wedding> marriage
A000199,What is the meaning of the Greek root of the word **monogamous**?,alone... monos (μονος); wedding> marriage... gamos (γαμος)
A000200,What does the Greek word **genos (γενος)** mean?,race> offspring> kind
A000201,What Greek word means **race> offspring> kind**?,genos (γενος)
A000202,What is the Greek root of the word **cyanogen**?,genos (γενος)> race> offspring> kind
A000203,What is the meaning of the Greek root of the word **cyanogen**?,race> offspring> kind... genos (γενος)
A000204,What is the Greek root of the word **genealogy**?,logos (λογος)> word> speech> reasoning; genos (γενος)> race> offspring> kind
A000205,What is the meaning of the Greek root of the word **genealogy**?,word> speech> reasoning... logos (λογος); race> offspring> kind... genos (γενος)
A000206,What is the Greek root of the word **genesis**?,genos (γενος)> race> offspring> kind
A000207,What is the meaning of the Greek root of the word **genesis**?,race> offspring> kind... genos (γενος)
A000208,What is the Greek root of the word **genetic**?,genos (γενος)> race> offspring> kind
A000209,What is the meaning of the Greek root of the word **genetic**?,race> offspring> kind... genos (γενος)
A000210,What is the Greek root of the word **homogeneous**?,homos (ὁμος)> one and the same> like; genos (γενος)> race> offspring> kind
A000211,What is the meaning of the Greek root of the word **homogeneous**?,one and the same> like... homos (ὁμος); race> offspring> kind... genos (γενος)
A000212,What is the Greek root of the word **hydrogen**?,hydor (ὑδωρ)> water; genos (γενος)> race> offspring> kind
A000213,What is the meaning of the Greek root of the word **hydrogen**?,water... hydor (ὑδωρ); race> offspring> kind... genos (γενος)
A000214,What is the Greek root of the word **nitrogen**?,genos (γενος)> race> offspring> kind
A000215,What is the meaning of the Greek root of the word **nitrogen**?,race> offspring> kind... genos (γενος)
A000216,What does the Greek word **ge (γη)** mean?,earth
A000217,What Greek word means **earth**?,ge (γη)
A000218,What is the Greek root of the word **apogee**?,ge (γη)> earth
A000219,What is the meaning of the Greek root of the word **apogee**?,earth... ge (γη)
A000220,What is the Greek root of the word **geology**?,ge (γη)> earth
A000221,What is the meaning of the Greek root of the word **geology**?,earth... ge (γη)
A000222,What is the Greek root of the word **geometry**?,ge (γη)> earth
A000223,What is the meaning of the Greek root of the word **geometry**?,earth... ge (γη)
A000224,What is the Greek root of the word **geocentric**?,ge (γη)> earth
A000225,What is the meaning of the Greek root of the word **geocentric**?,earth... ge (γη)
A000226,What is the Greek root of the word **geomorphic**?,ge (γη)> earth
A000227,What is the meaning of the Greek root of the word **geomorphic**?,earth... ge (γη)
A000228,What does the Greek word **gignosko (γιγνωσκω)** mean?,to come to know> recognize
A000229,What Greek word means **to come to know> recognize**?,gignosko (γιγνωσκω)
A000230,What is the Greek root of the word **diagnose**?,gignosko (γιγνωσκω)> to come to know> recognize
A000231,What is the meaning of the Greek root of the word **diagnose**?,to come to know> recognize... gignosko (γιγνωσκω)
A000232,What is the Greek root of the word **physiognomy**?,gignosko (γιγνωσκω)> to come to know> recognize
A000233,What is the meaning of the Greek root of the word **physiognomy**?,to come to know> recognize... gignosko (γιγνωσκω)
A000234,What is the Greek root of the word **prognostic**?,gignosko (γιγνωσκω)> to come to know> recognize
A000235,What is the meaning of the Greek root of the word **prognostic**?,to come to know> recognize... gignosko (γιγνωσκω)
A000236,What does the Greek word **grapho (γραφω)** mean?,to draw> write> describe
A000237,What Greek word means **to draw> write> describe**?,grapho (γραφω)
A000238,What is the Greek root of the word **autograph**?,autos (αυτος)> self; grapho (γραφω)> to draw> write> describe
A000239,What is the meaning of the Greek root of the word **autograph**?,self... autos (αυτος); to draw> write> describe... grapho (γραφω)
A000240,What is the Greek root of the word **bibliography**?,biblos (βιβλος)> book; grapho (γραφω)> to draw> write> describe
A000241,What is the meaning of the Greek root of the word **bibliography**?,book... biblos (βιβλος); to draw> write> describe... grapho (γραφω)
A000242,What is the Greek root of the word **biography**?,bios (βιος)> life; grapho (γραφω)> to draw> write> describe
A000243,What is the meaning of the Greek root of the word **biography**?,life... bios (βιος); to draw> write> describe... grapho (γραφω)
A000244,What is the Greek root of the word **diagram**?,grapho (γραφω)> to draw> write> describe
A000245,What is the meaning of the Greek root of the word **diagram**?,to draw> write> describe... grapho (γραφω)
A000246,What is the Greek root of the word **engraft**?,grapho (γραφω)> to draw> write> describe
A000247,What is the meaning of the Greek root of the word **engraft**?,to draw> write> describe... grapho (γραφω)
A000248,What is the Greek root of the word **epigram**?,grapho (γραφω)> to draw> write> describe
A000249,What is the meaning of the Greek root of the word **epigram**?,to draw> write> describe... grapho (γραφω)
A000250,What is the Greek root of the word **geography**?,ge (γη)> earth; grapho (γραφω)> to draw> write> describe
A000251,What is the meaning of the Greek root of the word **geography**?,earth... ge (γη); to draw> write> describe... grapho (γραφω)
A000252,What is the Greek root of the word **glamorous**?,grapho (γραφω)> to draw> write> describe
A000253,What is the meaning of the Greek root of the word **glamorous**?,to draw> write> describe... grapho (γραφω)
A000254,What is the Greek root of the word **graft**?,grapho (γραφω)> to draw> write> describe
A000255,What is the meaning of the Greek root of the word **graft**?,to draw> write> describe... grapho (γραφω)
A000256,What is the Greek root of the word **grammar**?,grapho (γραφω)> to draw> write> describe
A000257,What is the meaning of the Greek root of the word **grammar**?,to draw> write> describe... grapho (γραφω)
A000258,What is the Greek root of the word **gramophone**?,grapho (γραφω)> to draw> write> describe
A000259,What is the meaning of the Greek root of the word **gramophone**?,to draw> write> describe... grapho (γραφω)
A000260,What is the Greek root of the word **graph**?,grapho (γραφω)> to draw> write> describe
A000261,What is the meaning of the Greek root of the word **graph**?,to draw> write> describe... grapho (γραφω)
A000262,What is the Greek root of the word **kilogram**?,grapho (γραφω)> to draw> write> describe
A000263,What is the meaning of the Greek root of the word **kilogram**?,to draw> write> describe... grapho (γραφω)
A000264,What is the Greek root of the word **paragraph**?,grapho (γραφω)> to draw> write> describe
A000265,What is the meaning of the Greek root of the word **paragraph**?,to draw> write> describe... grapho (γραφω)
A000266,What is the Greek root of the word **photograph**?,grapho (γραφω)> to draw> write> describe
A000267,What is the meaning of the Greek root of the word **photograph**?,to draw> write> describe... grapho (γραφω)
A000268,What is the Greek root of the word **telegram**?,grapho (γραφω)> to draw> write> describe
A000269,What is the meaning of the Greek root of the word **telegram**?,to draw> write> describe... grapho (γραφω)
A000270,What does the Greek word **demos (δημος)** mean?,the people
A000271,What Greek word means **the people**?,demos (δημος)
A000272,What is the Greek root of the word **epidemic**?,demos (δημος)> the people
A000273,What is the meaning of the Greek root of the word **epidemic**?,the people... demos (δημος)
A000274,What does the Greek word **didomi (διδωμι)** mean?,to give
A000275,What Greek word means **to give**?,didomi (διδωμι)
A000276,What is the Greek root of the word **anecdote**?,didomi (διδωμι)> to give
A000277,What is the meaning of the Greek root of the word **anecdote**?,to give... didomi (διδωμι)
A000278,What is the Greek root of the word **antidote**?,didomi (διδωμι)> to give
A000279,What is the meaning of the Greek root of the word **antidote**?,to give... didomi (διδωμι)
A000280,What is the Greek root of the word **dose**?,didomi (διδωμι)> to give
A000281,What is the meaning of the Greek root of the word **dose**?,to give... didomi (διδωμι)
A000282,What is the Greek root of the word **apodosis**?,didomi (διδωμι)> to give
A000283,What is the meaning of the Greek root of the word **apodosis**?,to give... didomi (διδωμι)
A000284,What is the Greek root of the word **overdose**?,didomi (διδωμι)> to give
A000285,What is the meaning of the Greek root of the word **overdose**?,to give... didomi (διδωμι)
A000286,What is the Greek root of the word **Pandora**?,didomi (διδωμι)> to give
A000287,What is the meaning of the Greek root of the word **Pandora**?,to give... didomi (διδωμι)
A000288,What does the Greek word **dokeo (δοκεω)** mean?,to think> have an opinion
A000289,What Greek word means **to think> have an opinion**?,dokeo (δοκεω)
A000290,What is the Greek root of the word **dogma**?,dokeo (δοκεω)> to think> have an opinion
A000291,What is the meaning of the Greek root of the word **dogma**?,to think> have an opinion... dokeo (δοκεω)
A000292,What is the Greek root of the word **doxology**?,dokeo (δοκεω)> to think> have an opinion
A000293,What is the meaning of the Greek root of the word **doxology**?,to think> have an opinion... dokeo (δοκεω)
A000294,What is the Greek root of the word **heterodox**?,heteros (ἑτερος)> the other> different; dokeo (δοκεω)> to think> have an opinion
A000295,What is the meaning of the Greek root of the word **heterodox**?,the other> different... heteros (ἑτερος); to think> have an opinion... dokeo (δοκεω)
A000296,What is the Greek root of the word **orthodox**?,orthos (ορθος)> straight> right> correct; dokeo (δοκεω)> to think> have an opinion
A000297,What is the meaning of the Greek root of the word **orthodox**?,straight> right> correct... orthos (ορθος); to think> have an opinion... dokeo (δοκεω)
A000298,What is the Greek root of the word **paradox**?,dokeo (δοκεω)> to think> have an opinion
A000299,What is the meaning of the Greek root of the word **paradox**?,to think> have an opinion... dokeo (δοκεω)
A000300,What does the Greek word **heteros (ἑτερος)** mean?,the other> different
A000301,What Greek word means **the other> different**?,heteros (ἑτερος)
A000302,What is the Greek root of the word **heterogeneous**?,genos (γενος)> race> offspring> kind; heteros (ἑτερος)> the other> different
A000303,What is the meaning of the Greek root of the word **heterogeneous**?,race> offspring> kind... genos (γενος); the other> different... heteros (ἑτερος)
A000304,What does the Greek word **ergon (εργον)** mean?,work> action
A000305,What Greek word means **work> action**?,ergon (εργον)
A000306,What is the Greek root of the word **argon**?,ergon (εργον)> work> action
A000307,What is the meaning of the Greek root of the word **argon**?,work> action... ergon (εργον)
A000308,What is the Greek root of the word **energy**?,ergon (εργον)> work> action
A000309,What is the meaning of the Greek root of the word **energy**?,work> action... ergon (εργον)
A000310,What is the Greek root of the word **liturgy**?,ergon (εργον)> work> action
A000311,What is the meaning of the Greek root of the word **liturgy**?,work> action... ergon (εργον)
A000312,What is the Greek root of the word **surgeon**?,cheir (χειρ)> hand; ergon (εργον)> work> action
A000313,What is the meaning of the Greek root of the word **surgeon**?,hand... cheir (χειρ); work> action... ergon (εργον)
A000314,What is the Greek root of the word **synergy**?,ergon (εργον)> work> action
A000315,What is the meaning of the Greek root of the word **synergy**?,work> action... ergon (εργον)
A000316,What is the Greek root of the word **ergonomics**?,ergon (εργον)> work> action
A000317,What is the meaning of the Greek root of the word **ergonomics**?,work> action... ergon (εργον)
A000318,What does the Greek word **echo (εχω)** mean?,to have> hold> be
A000319,What Greek word means **to have> hold> be**?,echo (εχω)
A000320,What is the Greek root of the word **epoch**?,echo (εχω)> to have> hold> be
A000321,What is the meaning of the Greek root of the word **epoch**?,to have> hold> be... echo (εχω)
A000322,What is the Greek root of the word **eunuch**?,echo (εχω)> to have> hold> be
A000323,What is the meaning of the Greek root of the word **eunuch**?,to have> hold> be... echo (εχω)
A000324,What is the Greek root of the word **hectic**?,echo (εχω)> to have> hold> be
A000325,What is the meaning of the Greek root of the word **hectic**?,to have> hold> be... echo (εχω)
A000326,What is the Greek root of the word **scheme**?,echo (εχω)> to have> hold> be
A000327,What is the meaning of the Greek root of the word **scheme**?,to have> hold> be... echo (εχω)
A000328,What is the Greek root of the word **sketch**?,echo (εχω)> to have> hold> be
A000329,What is the meaning of the Greek root of the word **sketch**?,to have> hold> be... echo (εχω)
A000330,What does the Greek word **zao (ζαω)** mean?,live
A000331,What Greek word means **live**?,zao (ζαω)
A000332,What is the Greek root of the word **zodiac**?,zao (ζαω)> live
A000333,What is the meaning of the Greek root of the word **zodiac**?,live... zao (ζαω)
A000334,What is the Greek root of the word **zoo**?,zao (ζαω)> live
A000335,What is the meaning of the Greek root of the word **zoo**?,live... zao (ζαω)
A000336,What does the Greek word **theomai (θεαομαι)** mean?,to behold
A000337,What Greek word means **to behold**?,theomai (θεαομαι)
A000338,What is the Greek root of the word **amphitheater**?,theomai (θεαομαι)> to behold
A000339,What is the meaning of the Greek root of the word **amphitheater**?,to behold... theomai (θεαομαι)
A000340,What is the Greek root of the word **theorem**?,theomai (θεαομαι)> to behold
A000341,What is the meaning of the Greek root of the word **theorem**?,to behold... theomai (θεαομαι)
A000342,What is the Greek root of the word **theory**?,theomai (θεαομαι)> to behold
A000343,What is the meaning of the Greek root of the word **theory**?,to behold... theomai (θεαομαι)
A000344,What does the Greek word **theos (θεος)** mean?,god
A000345,What Greek word means **god**?,theos (θεος)
A000346,What is the Greek root of the word **apotheosis**?,theos (θεος)> god
A000347,What is the meaning of the Greek root of the word **apotheosis**?,god... theos (θεος)
A000348,What is the Greek root of the word **atheist**?,theos (θεος)> god
A000349,What is the meaning of the Greek root of the word **atheist**?,god... theos (θεος)
A000350,What is the Greek root of the word **enthusiasm**?,theos (θεος)> god
A000351,What is the meaning of the Greek root of the word **enthusiasm**?,god... theos (θεος)
