GMDR000000,What Greek medical root comes from the Greek **νᾶνος (nânos)> dwarf**?,nan(o)-> nano- (meaning **dwarf> small**)
GMDR000038,What Greek medical root comes from the Greek **ὄρχις (órkhis)> testicle> ovary**?,orchi(o)-> orchid(o)-> orch(o)-> orchio- (meaning **testis**)
GMDR000039,What does the Greek medical root **orchi(o)-> orchid(o)-> orch(o)-** mean?,testis
GMDR000040,What Greek medical root comes from the Greek **ὀρθός (orthós)> straight> correct> normal**?,orth(o)-> ortho- (meaning **denoting something as straight or correct**)
GMDR000041,What does the Greek medical root **orth(o)-** mean?,denoting something as straight or correct
GMDR000042,What Greek medical root comes from the Greek **-ωσις (-ōsis)> state> abnormal condition> action**?,-osis (meaning **a condition> disease> process or increase**)
GMDR000043,What does the Greek medical root **-osis** mean?,a condition> disease> process or increase
GMDR000044,What Greek medical root comes from the Greek **ὀστέον (ostéon)> bone**?,ost(e)-> oste(o)-> oste- (meaning **bone**)
GMDR000045,What does the Greek medical root **ost(e)-> oste(o)-** mean?,bone
GMDR000046,What Greek medical root comes from the Greek **οὖς> ὠτ- (oûs> ōt-)> the ear**?,ot(o)-> oto- (meaning **of or pertaining to the ear**)
GMDR000047,What does the Greek medical root **ot(o)-** mean?,of or pertaining to the ear
GMDR000048,What Greek medical root comes from the Greek **πᾰχῠ́ς (pakhús)> thick> large> stout**?,pachy- (meaning **thick**)
GMDR000049,What does the Greek medical root **pachy-** mean?,thick
GMDR000050,What Greek medical root comes from the Greek **πάγος (págos)> fixed> set> fastened**?,-pagus (meaning **Indicates conjoined twins> with the first part denoting the organs fused**)
GMDR000051,What does the Greek medical root **-pagus** mean?,Indicates conjoined twins> with the first part denoting the organs fused
GMDR000052,What Greek medical root comes from the Greek **πᾶς> παν- (pâs> pan-)> all> every**?,pan-> pant(o)- (meaning **denoting something as 'complete' or containing 'everything'; "all"**)
GMDR000053,What does the Greek medical root **pan-> pant(o)-** mean?,denoting something as 'complete' or containing 'everything'; "all"
GMDR000054,What Greek medical root comes from the Greek **πᾰρᾰ́ (pará)**?,para- (meaning **alongside of**)
GMDR000055,What does the Greek medical root **para-** mean?,alongside of
GMDR000056,What Greek medical root comes from the Greek **πάρεσις (páresis)**?,-paresis (meaning **slight paralysis**)
GMDR000057,What does the Greek medical root **-paresis** mean?,slight paralysis
GMDR000058,What Greek medical root comes from the Greek **πᾰ́θος (páthos)> pain> suffering> condition**?,path(o)-> patho- (meaning **disease**)
GMDR000059,What does the Greek medical root **path(o)-** mean?,disease
GMDR000060,What Greek medical root comes from the Greek **πᾰ́θος (páthos)> suffering> accident**?,-pathy (meaning **denotes (with a negative sense) a disease> or disorder**)
GMDR000061,What does the Greek medical root **-pathy** mean?,denotes (with a negative sense) a disease> or disorder
GMDR000062,What Greek medical root comes from the Greek **παῖς/παιδός (paîs/paidós)> child**?,ped-> pedo- (meaning **of or pertaining to the child**)
GMDR000063,What does the Greek medical root **ped-> pedo-** mean?,of or pertaining to the child
GMDR000064,What Greek medical root comes from the Greek **πενῐ́ᾱ> poverty> indigence**?,-penia (meaning **deficiency**)
GMDR000065,What does the Greek medical root **-penia** mean?,deficiency
GMDR000066,What Greek medical root comes from the Greek **πέος (péos)**?,peo- (meaning **of or pertaining to the penis**)
GMDR000067,What does the Greek medical root **peo-** mean?,of or pertaining to the penis
GMDR000068,What Greek medical root comes from the Greek **πεπτός (peptós)> cooked> digested < πέσσω (péssō)> I boil> cook; digest**?,-pepsia (meaning **denotes something relating to digestion> or the digestive tract.**)
GMDR000069,What does the Greek medical root **-pepsia** mean?,denotes something relating to digestion> or the digestive tract.
GMDR000070,What Greek medical root comes from the Greek **περῐ́ (perí)> around> about> concerning**?,peri- (meaning **denoting something with a position 'surrounding' or 'around' another**)
GMDR000071,What does the Greek medical root **peri-** mean?,denoting something with a position 'surrounding' or 'around' another
GMDR000072,What Greek medical root comes from the Greek **πῆξις (pêxis)> fixing in place> fastening**?,-pexy (meaning **fixation**)
GMDR000073,What does the Greek medical root **-pexy** mean?,fixation
GMDR000074,What Greek medical root comes from the Greek **φᾰκός (phakós)> lentil-bean**?,phaco- (meaning **lens-shaped**)
GMDR000075,What does the Greek medical root **phaco-** mean?,lens-shaped
GMDR000076,What Greek medical root comes from the Greek **φαγία (phagía) eating < φᾰγεῖν (phageîn)> to eat**?,-phagia> -phage (meaning **Forms terms denoting conditions relating to eating or ingestion**)
GMDR000077,What does the Greek medical root **-phagia> -phage** mean?,Forms terms denoting conditions relating to eating or ingestion
GMDR000078,What Greek medical root comes from the Greek **φαγιστής (phagistḗs) eater> φαγία (phagia) eating; see -phagia**?,phagist-> -phagy (meaning **feeder of or the act of feeding on**)
GMDR000079,What does the Greek medical root **phagist-> -phagy** mean?,feeder of or the act of feeding on
GMDR000080,What Greek medical root comes from the Greek **-φᾰ́γος (-phágos)> eater of> eating**?,-phago- (meaning **eating> devouring**)
GMDR000081,What does the Greek medical root **-phago-** mean?,eating> devouring
GMDR000082,What Greek medical root comes from the Greek **φαλλός (phallós)> penis**?,phall- (meaning **phallus**)
GMDR000083,What does the Greek medical root **phall-** mean?,phallus
GMDR000084,What Greek medical root comes from the Greek **φάρμᾰκον (phármakon)> witchcraft> drug**?,pharmac- (meaning **drug> medication**)
GMDR000085,What does the Greek medical root **pharmac-** mean?,drug> medication
GMDR000086,What Greek medical root comes from the Greek **φᾰ́ρῠγξ> φαρυγγ- (phárunx> pharung-)> throat> windpipe; chasm**?,pharyng- (meaning **of or pertaining to the pharynx> the upper throat cavity**)
GMDR000087,What does the Greek medical root **pharyng-** mean?,of or pertaining to the pharynx> the upper throat cavity
GMDR000088,What Greek medical root comes from the Greek **φῐλῐ́ᾱ (philíā)> friendship> love> affection**?,-phil(ia)> -philia (meaning **attraction for**)
GMDR000089,What does the Greek medical root **-phil(ia)** mean?,attraction for
GMDR000090,What Greek medical root comes from the Greek **φλέψ/φλεβ- (phléps/phleb-)> blood-vessel> vein**?,phleb- (meaning **of or pertaining to the (blood) veins> a vein**)
GMDR000091,What does the Greek medical root **phleb-** mean?,of or pertaining to the (blood) veins> a vein
GMDR000092,What Greek medical root comes from the Greek **φόβος (phóbos)> terror> fear> flight> panic**?,-phobia (meaning **exaggerated fear> sensitivity> aversion**)
GMDR000093,What does the Greek medical root **-phobia** mean?,exaggerated fear> sensitivity> aversion
GMDR000094,What Greek medical root comes from the Greek **φωνή (phōnḗ)**?,phon- (meaning **sound**)
GMDR000095,What does the Greek medical root **phon-** mean?,sound
GMDR000096,What Greek medical root comes from the Greek **φῶς> φᾰ́ος> φωτ- (phôs> pháos)> light**?,phos- (meaning **of or pertaining to light or its chemical properties> now historic and used rarely. See the common root phot- below.**)
GMDR000097,What does the Greek medical root **phos-** mean?,of or pertaining to light or its chemical properties> now historic and used rarely. See the common root phot- below.
GMDR000098,What Greek medical root comes from the Greek **φωτω- (phōtō-)> < φῶς (phôs)> light**?,phot- (meaning **of or pertaining to light**)
GMDR000099,What does the Greek medical root **phot-** mean?,of or pertaining to light
GMDR000100,What Greek medical root comes from the Greek **φρήν (phrḗn)> intellect> wits> mind**?,phren-> phrenic- (meaning **the mind**)
GMDR000101,What does the Greek medical root **phren-> phrenic-** mean?,the mind
GMDR000102,What Greek medical root comes from the Greek **φῠ́λλον (phúllon)> leaf> foliage> plant**?,phyllo- (meaning **leaf-like**)
GMDR000103,What does the Greek medical root **phyllo-** mean?,leaf-like
GMDR000104,What Greek medical root comes from the Greek **φῠτόν (phutón)> plant> tree**?,-phyte> phyto- (meaning **to grow**)
GMDR000105,What does the Greek medical root **-phyte> phyto-** mean?,to grow
GMDR000106,What Greek medical root comes from the Greek **πλᾰ́σῐς (plásis)> moulding> conformation**?,-plasia (meaning **formation> development**)
GMDR000107,What does the Greek medical root **-plasia** mean?,formation> development
GMDR000108,What Greek medical root comes from the Greek **πλαστός (plastós)> molded> formed**?,-plasty (meaning **surgical repair> reconstruction**)
GMDR000109,What does the Greek medical root **-plasty** mean?,surgical repair> reconstruction
GMDR000110,What Greek medical root comes from the Greek **πληγή (plēgḗ)> stroke (from a sword)> originally to strike or smite**?,-plegia (meaning **paralysis**)
GMDR000111,What does the Greek medical root **-plegia** mean?,paralysis
GMDR000112,What Greek medical root comes from the Greek **πλεῖον (pleîon)> more**?,pleio- (meaning **more> excessive> multiple**)
GMDR000113,What does the Greek medical root **pleio-** mean?,more> excessive> multiple
GMDR000114,What Greek medical root comes from the Greek **πλευρᾱ́ (pleurā́)> rib> side of the body**?,pleur- (meaning **of or pertaining to the ribs**)
GMDR000115,What does the Greek medical root **pleur-** mean?,of or pertaining to the ribs
GMDR000116,What Greek medical root comes from the Greek **πλήσσω/πλήσσειν (plḗssō/plḗssein)> to strike or smite**?,-plexy (meaning **stroke or seizure**)
GMDR000117,What does the Greek medical root **-plexy** mean?,stroke or seizure
GMDR000118,What Greek medical root comes from the Greek **πνεῖν (pneîn)> πνεῦμα/πνεύματος (pneûma/pneúmatos)> πνεύμων (pneúmōn)**?,pne-> pneum- (meaning **air> breath> lung**)
GMDR000119,What does the Greek medical root **pne-> pneum-** mean?,air> breath> lung
GMDR000120,What Greek medical root comes from the Greek **πούς> ποδ- (poús> pod-)> foot**?,pod-> -pod-> -pus (meaning **of or pertaining to the foot> -footed**)
GMDR000121,What does the Greek medical root **pod-> -pod-> -pus** mean?,of or pertaining to the foot> -footed
GMDR000122,What Greek medical root comes from the Greek **ποίησις (poíēsis)> poetry> poem> creation**?,-poiesis (meaning **production**)
GMDR000123,What does the Greek medical root **-poiesis** mean?,production
GMDR000124,What Greek medical root comes from the Greek **πολῐός (poliós)> grey> grizzled**?,polio- (meaning **having a grey color**)
GMDR000125,What does the Greek medical root **polio-** mean?,having a grey color
GMDR000126,What Greek medical root comes from the Greek **πολῠ́ς (polús)> many> a lot of> large> great**?,poly- (meaning **denotes a 'plurality' of something**)
GMDR000127,What does the Greek medical root **poly-** mean?,denotes a 'plurality' of something
GMDR000128,What Greek medical root comes from the Greek **πόρος (póros)> passage> passageway**?,por- (meaning **pore> porous**)
GMDR000129,What does the Greek medical root **por-** mean?,pore> porous
GMDR000130,What Greek medical root comes from the Greek **πορφύρα (porphúra)> Tyrian purple> royal purple**?,porphyr- (meaning **denotes a purple color**)
GMDR000131,What does the Greek medical root **porphyr-** mean?,denotes a purple color
GMDR000132,What Greek medical root comes from the Greek **πρέσβυς (présbus)> old man> elder**?,presby- (meaning **old age**)
GMDR000133,What does the Greek medical root **presby-** mean?,old age
GMDR000134,What Greek medical root comes from the Greek **πρό- (pró-)> before> in front of**?,pro- (meaning **denotes something as 'before' another (in [physical] position or time)**)
GMDR000135,What does the Greek medical root **pro-** mean?,denotes something as 'before' another (in [physical] position or time)
GMDR000136,What Greek medical root comes from the Greek **πρωκτός (prōktós)> anus**?,proct- (meaning **anus> rectum**)
GMDR000137,What does the Greek medical root **proct-** mean?,anus> rectum
GMDR000138,What Greek medical root comes from the Greek **πρόσωπον (prósōpon)> face> visage> mask**?,prosop- (meaning **face**)
GMDR000139,What does the Greek medical root **prosop-** mean?,face
GMDR000140,What Greek medical root comes from the Greek **πρωτος (prōtos)> first; principal> most important**?,prot- (meaning **denotes something as 'first' or 'most important'**)
GMDR000141,What does the Greek medical root **prot-** mean?,denotes something as 'first' or 'most important'
GMDR000142,What Greek medical root comes from the Greek **ψεύδω (pseúdō)> to lie or deceive**?,pseud- (meaning **denotes something false or fake**)
GMDR000143,What does the Greek medical root **pseud-** mean?,denotes something false or fake
GMDR000144,What Greek medical root comes from the Greek **ψώρα (psṓra)> itch> mange> scurvy**?,psor- (meaning **Itching**)
GMDR000145,What does the Greek medical root **psor-** mean?,Itching
GMDR000146,What Greek medical root comes from the Greek **ψυχή (psukhḗ)> breath> life> soul**?,psych- (meaning **of or pertaining to the mind**)
GMDR000147,What does the Greek medical root **psych-** mean?,of or pertaining to the mind
GMDR000148,What Greek medical root comes from the Greek **πτερόν (pterón)> wing> feather**?,ptero-> ptery- (meaning **pertaining to a wing; 'pterygo-'> wing-shaped**)
GMDR000149,What does the Greek medical root **ptero-> ptery-** mean?,pertaining to a wing; 'pterygo-'> wing-shaped
GMDR000150,What Greek medical root comes from the Greek **πτῶσῐς (ptôsis)> falling**?,-ptosis (meaning **falling> drooping> downward placement> prolapse**)
GMDR000151,What does the Greek medical root **-ptosis** mean?,falling> drooping> downward placement> prolapse
GMDR000152,What Greek medical root comes from the Greek **πτῡ́ω (ptū́ō)> to spit up> disgorge; + -σις (-sis)> added to verb stems to form abstract nouns or nouns of action> result or process**?,-ptysis (meaning **spitting**)
GMDR000153,What does the Greek medical root **-ptysis** mean?,spitting
GMDR000154,What Greek medical root comes from the Greek **πύον (púon)> pus**?,py- (meaning **pus**)
GMDR000155,What does the Greek medical root **py-** mean?,pus
GMDR000156,What Greek medical root comes from the Greek **πύελος (púelos)> pelvis> wash basin**?,pyel- (meaning **pelvis**)
GMDR000157,What does the Greek medical root **pyel-** mean?,pelvis
GMDR000158,What Greek medical root comes from the Greek **πύκνωσις (púknōsis)> thickening**?,pykno- (meaning **to thicken (as the nucleus does in early stages of cell death)**)
GMDR000159,What does the Greek medical root **pykno-** mean?,to thicken (as the nucleus does in early stages of cell death)
GMDR000160,What Greek medical root comes from the Greek **πυλωρός (pulōrós)> gate keeper; lower orifice of the stomach**?,pylor- (meaning **gate**)
GMDR000161,What does the Greek medical root **pylor-** mean?,gate
GMDR000162,What Greek medical root comes from the Greek **πῦρ/πυρετός (pûr/puretós)> fire> heat> fever**?,pyr- (meaning **fever**)
GMDR000163,What does the Greek medical root **pyr-** mean?,fever
GMDR000164,What Greek medical root comes from the Greek **ῥᾰ́βδος (rhábdos)> wand> stick> stripe**?,rhabd(o)-> rhabdo- (meaning **rod shaped> striated**)
GMDR000165,What does the Greek medical root **rhabd(o)-** mean?,rod shaped> striated
GMDR000166,What Greek medical root comes from the Greek **ῥάχις (rhákhis)> spine or backbone**?,rhachi(o)-> rhachio- (meaning **spine**)
GMDR000167,What does the Greek medical root **rhachi(o)-** mean?,spine
GMDR000168,What Greek medical root comes from the Greek **ῥίς/ῥῑνο- (rhís/rhīno-)> nose**?,rhin(o)-> rhino- (meaning **of or pertaining to the nose**)
GMDR000169,What does the Greek medical root **rhin(o)-** mean?,of or pertaining to the nose
GMDR000170,What Greek medical root comes from the Greek **ῥόδον (rhódon)> rose**?,rhod(o)-> rhodo- (meaning **denoting a rose-red color**)
GMDR000171,What does the Greek medical root **rhod(o)-** mean?,denoting a rose-red color
GMDR000172,What Greek medical root comes from the Greek **-ραγία (-ragía)> to break> to burst**?,-rrhage> -rrhagia (meaning **burst forth> rapid flow (of blood> usually)**)
GMDR000173,What does the Greek medical root **-rrhage> -rrhagia** mean?,burst forth> rapid flow (of blood> usually)
GMDR000174,What Greek medical root comes from the Greek **ῥαφή (rhaphḗ)**?,-rrhaphy (meaning **surgical suturing**)
GMDR000175,What does the Greek medical root **-rrhaphy** mean?,surgical suturing
GMDR000176,What Greek medical root comes from the Greek **ῥοίᾱ (rhoíā)> flow> flux**?,-rrhea (Amer.)> -rrhoea (Brit.) (meaning **flowing> discharge**)
GMDR000177,What does the Greek medical root **-rrhea (Amer.)> -rrhoea (Brit.)** mean?,flowing> discharge
GMDR000178,What Greek medical root comes from the Greek **ῥῆξῐς (rhêxis)> breaking> bursting> discharge**?,-rrhexis (meaning **rupture**)
GMDR000179,What does the Greek medical root **-rrhexis** mean?,rupture
GMDR000180,What Greek medical root comes from the Greek **σᾰ́λπῐγξ/σαλπιγγ-> (sálpinx/salping-)> trumpet**?,salping(o)-> salpingo- (meaning **of or pertaining to tubes> e.g. fallopian tubes**)
GMDR000181,What does the Greek medical root **salping(o)-** mean?,of or pertaining to tubes> e.g. fallopian tubes
GMDR000182,What Greek medical root comes from the Greek **σαπρός (saprós)> rotten> putrid**?,sapro- (meaning **relating to putrefaction or decay**)
GMDR000183,What does the Greek medical root **sapro-** mean?,relating to putrefaction or decay
GMDR000184,What Greek medical root comes from the Greek **σάρξ (sárx)> flesh**?,sarco- (meaning **muscular> flesh-like**)
GMDR000185,What does the Greek medical root **sarco-** mean?,muscular> flesh-like
GMDR000186,What Greek medical root comes from the Greek **σχῐστός (skhistós)> cloven> divided**?,schist(o)-> schisto- (meaning **split> cleft**)
GMDR000187,What does the Greek medical root **schist(o)-** mean?,split> cleft
GMDR000188,What Greek medical root comes from the Greek **σχῐ́ζω (skhízō)> I split> cleave> part; irregular formation of the verb σχῐ́ζειν (skhízein)> to cut> split**?,schiz(o)-> schizo- (meaning **denoting something "split" or "double-sided"**)
GMDR000189,What does the Greek medical root **schiz(o)-** mean?,denoting something "split" or "double-sided"
GMDR000190,What Greek medical root comes from the Greek **σκληρός (sklērós)**?,scler(o)-> sclero- (meaning **hard**)
GMDR000191,What does the Greek medical root **scler(o)-** mean?,hard
GMDR000192,What Greek medical root comes from the Greek **σκληρός (sklērós)> hard> harden; + -σῐς (-sis)> added to verb stems to form abstract nouns or nouns of action> result or process**?,-sclerosis (meaning **hardening**)
GMDR000193,What does the Greek medical root **-sclerosis** mean?,hardening
GMDR000194,What Greek medical root comes from the Greek **σκολιός (skoliós)> curved> bent**?,scoli(o)-> scolio- (meaning **twisted**)
GMDR000195,What does the Greek medical root **scoli(o)-** mean?,twisted
GMDR000196,What Greek medical root comes from the Greek **σκόπος (skópos)> watcher> σκοπέω (skopéō)> to look at> behold> examine**?,-scope> -scopy (meaning **instrument for or process of viewing**)
GMDR000197,What does the Greek medical root **-scope> -scopy** mean?,instrument for or process of viewing
GMDR000198,What Greek medical root comes from the Greek **σκότος (skótos)**?,scoto- (meaning **darkness**)
GMDR000199,What does the Greek medical root **scoto-** mean?,darkness
GMDR000200,What Greek medical root comes from the Greek **σιγμοειδής (sigmoeidḗs)> crescent-shaped> lunate sigma-shaped**?,sigmoid(o)-> sigmoido- (meaning **sigmoid> S-shaped curvature**)
GMDR000201,What does the Greek medical root **sigmoid(o)-** mean?,sigmoid> S-shaped curvature
GMDR000202,What Greek medical root comes from the Greek **σῖτος (sîtos)**?,sito- (meaning **food> grain**)
GMDR000203,What does the Greek medical root **sito-** mean?,food> grain
GMDR000204,What Greek medical root comes from the Greek **σῶμα (sôma)**?,somat(o)-> somatico-> somato- (meaning **body> bodily**)
GMDR000205,What does the Greek medical root **somat(o)-> somatico-** mean?,body> bodily
GMDR000206,What Greek medical root comes from the Greek **σπάω (spáō)> break> split**?,-spadias (meaning **slit> fissure**)
GMDR000207,What does the Greek medical root **-spadias** mean?,slit> fissure
GMDR000208,What Greek medical root comes from the Greek **σπασμός (spasmós)**?,spasmo- (meaning **spasm**)
GMDR000209,What does the Greek medical root **spasmo-** mean?,spasm
GMDR000210,What Greek medical root comes from the Greek **σπέρμα (spérma)> seed> semen**?,sperma-> spermo-> spermato- (meaning **semen> spermatozoa**)
GMDR000211,What does the Greek medical root **sperma-> spermo-> spermato-** mean?,semen> spermatozoa
GMDR000212,What Greek medical root comes from the Greek **σπλᾰ́γχνον (splánkhnon)> bowels> guts**?,splanchn(i)-> splanchn(o)-> splanchni- (meaning **viscera**)
GMDR000213,What does the Greek medical root **splanchn(i)-> splanchn(o)-** mean?,viscera
GMDR000214,What Greek medical root comes from the Greek **σπλήν/σπλην- (splḗn/splēn-)> spleen> milt**?,splen(o)-> spleno- (meaning **spleen**)
GMDR000215,What does the Greek medical root **splen(o)-** mean?,spleen
GMDR000216,What Greek medical root comes from the Greek **σφόνδῠλος/σπόνδυλος (sphóndulos/spóndulos)> the spine**?,spondyl(o)-> spondylo- (meaning **of or pertaining to the spine> the vertebra**)
GMDR000217,What does the Greek medical root **spondyl(o)-** mean?,of or pertaining to the spine> the vertebra
GMDR000218,What Greek medical root comes from the Greek **στέλλω (stéllō)> I dispatch> place> set**?,-stalsis (meaning **contraction**)
GMDR000219,What does the Greek medical root **-stalsis** mean?,contraction
GMDR000220,What Greek medical root comes from the Greek **στᾰ́σῐς (stásis)> to stand> place> set**?,-stasis (meaning **stopping> standing**)
GMDR000221,What does the Greek medical root **-stasis** mean?,stopping> standing
GMDR000222,What Greek medical root comes from the Greek **στάζω/στακτός (stázō/staktós)> drip> leak> trickle**?,-staxis (meaning **dripping> trickling**)
GMDR000223,What does the Greek medical root **-staxis** mean?,dripping> trickling
GMDR000224,What Greek medical root comes from the Greek **στενός (stenós)> narrow> short**?,sten(o)-> steno- (meaning **denoting something as narrow in shape or pertaining to narrowness**)
GMDR000225,What does the Greek medical root **sten(o)-** mean?,denoting something as narrow in shape or pertaining to narrowness
GMDR000226,What Greek medical root comes from the Greek **στενός (stenós)> narrow> short; + -σῐς (-sis)> added to verb stems to form abstract nouns or nouns of action> result or process**?,-stenosis (meaning **abnormal narrowing of a blood vessel or other tubular organ or structure**)
GMDR000227,What does the Greek medical root **-stenosis** mean?,abnormal narrowing of a blood vessel or other tubular organ or structure
GMDR000228,What Greek medical root comes from the Greek **στῆθος (stêthos)> chest> cuirass**?,steth- (meaning **of or pertaining to the upper chest> the area above the breast and under the neck**)
GMDR000229,What does the Greek medical root **steth-** mean?,of or pertaining to the upper chest> the area above the breast and under the neck
GMDR000230,What Greek medical root comes from the Greek **σθένος (sthénos)**?,stheno- (meaning **strength> force> power**)
GMDR000231,What does the Greek medical root **stheno-** mean?,strength> force> power
GMDR000232,What Greek medical root comes from the Greek **στόμᾰ/στοματ- (stóma/stomat-)> mouth**?,stom-> stomat- (meaning **of or pertaining to the mouth; an artificially created opening**)
GMDR000233,What does the Greek medical root **stom-> stomat-** mean?,of or pertaining to the mouth; an artificially created opening
GMDR000234,What Greek medical root comes from the Greek **σῠν- (sun-)> with> together**?,sy-> syl-> sym-> syn-> sys- (meaning **indicates similarity> likeness> or being together; assimilates before some consonants: before l to syl-> s to sys-> before a labial consonant to sym-**)
GMDR000235,What does the Greek medical root **sy-> syl-> sym-> syn-> sys-** mean?,indicates similarity> likeness> or being together; assimilates before some consonants: before l to syl-> s to sys-> before a labial consonant to sym-
GMDR000236,What Greek medical root comes from the Greek **τᾰχῠ́ς (takhús)> fast> quickly**?,tachy- (meaning **denoting something as fast> irregularly fast**)
GMDR000237,What does the Greek medical root **tachy-** mean?,denoting something as fast> irregularly fast
GMDR000238,What Greek medical root comes from the Greek **τέρᾰς (téras)**?,terato- (meaning **Monster**)
GMDR000239,What does the Greek medical root **terato-** mean?,Monster
GMDR000240,What Greek medical root comes from the Greek **τέτανος (tétanos)**?,tetan- (meaning **rigid> tense**)
GMDR000241,What does the Greek medical root **tetan-** mean?,rigid> tense
GMDR000242,What Greek medical root comes from the Greek **θήκη (thḗkē)**?,thec- (meaning **case> sheath**)
GMDR000243,What does the Greek medical root **thec-** mean?,case> sheath
GMDR000244,What Greek medical root comes from the Greek **θηλή (thēlḗ)> a teat> nipple**?,thel- (meaning **of or pertaining to a nipple (uncommon as a prefix)**)
GMDR000245,What does the Greek medical root **thel-** mean?,of or pertaining to a nipple (uncommon as a prefix)
GMDR000246,What Greek medical root comes from the Greek **θῆλῠς (thêlus)> female> feminine**?,thely- (meaning **denoting something as relating to a woman> feminine**)
GMDR000247,What does the Greek medical root **thely-** mean?,denoting something as relating to a woman> feminine
GMDR000248,What Greek medical root comes from the Greek **θερᾰπείᾱ (therapeíā)**?,therap- (meaning **treatment**)
GMDR000249,What does the Greek medical root **therap-** mean?,treatment
GMDR000250,What Greek medical root comes from the Greek **θερμός (thermós)**?,therm(o)-> thermo- (meaning **heat**)
GMDR000251,What does the Greek medical root **therm(o)-** mean?,heat
