GMDR000000,What Greek medical root comes from the Greek **ἀ-/ἀν- (a-/an-)> not> without**?,a-> an- (meaning **not> without (alpha privative)**)
GMDR000070,What Greek medical root comes from the Greek **βλέφαρον (blépharon)> eyelid**?,blephar(o)-> blepharo- (meaning **of or pertaining to the eyelid**)
GMDR000071,What does the Greek medical root **blephar(o)-** mean?,of or pertaining to the eyelid
GMDR000072,What Greek medical root comes from the Greek **βραχύς (brakhús)> short> little> shallow**?,brachy- (meaning **indicating 'short' or less commonly 'little'**)
GMDR000073,What does the Greek medical root **brachy-** mean?,indicating 'short' or less commonly 'little'
GMDR000074,What Greek medical root comes from the Greek **βραδύς (bradús)> slow**?,brady- (meaning **slow**)
GMDR000075,What does the Greek medical root **brady-** mean?,slow
GMDR000076,What Greek medical root comes from the Greek **καρκίνος (karkínos)> crab**?,carcin- (meaning **cancer**)
GMDR000077,What does the Greek medical root **carcin-** mean?,cancer
GMDR000078,What Greek medical root comes from the Greek **καρδία (kardía)> heart**?,cardi- (meaning **of or pertaining to the heart**)
GMDR000079,What does the Greek medical root **cardi-** mean?,of or pertaining to the heart
GMDR000080,What Greek medical root comes from the Greek **κατά (katá)**?,cata- (meaning **down> under**)
GMDR000081,What does the Greek medical root **cata-** mean?,down> under
GMDR000082,What Greek medical root comes from the Greek **κήλη (kḗlē)**?,-cele (meaning **pouching> hernia**)
GMDR000083,What does the Greek medical root **-cele** mean?,pouching> hernia
GMDR000084,What Greek medical root comes from the Greek **κέντησις (kéntēsis)**?,-centesis (meaning **surgical puncture for aspiration**)
GMDR000085,What does the Greek medical root **-centesis** mean?,surgical puncture for aspiration
GMDR000086,What Greek medical root comes from the Greek **κεφαλή (kephalḗ)> the head**?,cephal(o)-> cephalo- (meaning **of or pertaining to the head (as a whole)**)
GMDR000087,What does the Greek medical root **cephal(o)-** mean?,of or pertaining to the head (as a whole)
GMDR000088,What Greek medical root comes from the Greek **κέρας> κερατ- (kéras> kerat-)> a horn**?,cerat(o)-> cerato- (meaning **of or pertaining to the cornu; a horn**)
GMDR000089,What does the Greek medical root **cerat(o)-** mean?,of or pertaining to the cornu; a horn
GMDR000090,What Greek medical root comes from the Greek **χεῖλος (kheîlos)> lip> mouth> beak**?,cheil- (meaning **of or pertaining to the lips**)
GMDR000091,What does the Greek medical root **cheil-** mean?,of or pertaining to the lips
GMDR000092,What Greek medical root comes from the Greek **χημεία (khēmeía)**?,chem(o)-> chemo- (meaning **chemistry> drug**)
GMDR000093,What does the Greek medical root **chem(o)-** mean?,chemistry> drug
GMDR000094,What Greek medical root comes from the Greek **χείρ> χειρο- (kheír> kheiro-)> hand**?,chir-> cheir- (meaning **of or pertaining to the hand**)
GMDR000095,What does the Greek medical root **chir-> cheir-** mean?,of or pertaining to the hand
GMDR000096,What Greek medical root comes from the Greek **χλωρός (khlōrós)> green> yellow-green**?,chlor- (meaning **denoting a green color**)
GMDR000097,What does the Greek medical root **chlor-** mean?,denoting a green color
GMDR000098,What Greek medical root comes from the Greek **χοληκύστις (kholēkústis)> gallbladder < χολή (kholḗ)> bile> gall + κύστις (kústis)> bladder**?,cholecyst(o)-> cholecysto- (meaning **of or pertaining to the gallbladder**)
GMDR000099,What does the Greek medical root **cholecyst(o)-** mean?,of or pertaining to the gallbladder
GMDR000100,What Greek medical root comes from the Greek **χονδρός (grc)**?,chondr(i)o-> chondrio- (meaning **cartilage> gristle> granule> granular**)
GMDR000101,What does the Greek medical root **chondr(i)o-** mean?,cartilage> gristle> granule> granular
GMDR000102,What Greek medical root comes from the Greek **χρῶμα (khrôma)**?,chrom(ato)-> chromato- (meaning **color**)
GMDR000103,What does the Greek medical root **chrom(ato)-** mean?,color
GMDR000104,What Greek medical root comes from the Greek **κλαστός (klastós)> broken**?,-clast (meaning **break**)
GMDR000105,What does the Greek medical root **-clast** mean?,break
GMDR000106,What Greek medical root comes from the Greek **κλωστήρ (klōstḗr)> spindle> thread**?,clostr- (meaning **spindle**)
GMDR000107,What does the Greek medical root **clostr-** mean?,spindle
GMDR000108,What Greek medical root comes from the Greek **κόκκος (kókkos)> berry> seed**?,-coccus> -coccal (meaning **round> spherical**)
GMDR000109,What does the Greek medical root **-coccus> -coccal** mean?,round> spherical
GMDR000110,What Greek medical root comes from the Greek **κόλον (kólon)**?,col-> colo-> colono- (meaning **colon**)
GMDR000111,What does the Greek medical root **col-> colo-> colono-** mean?,colon
GMDR000112,What Greek medical root comes from the Greek **κόλπος (kólpos)> bosom> womb; hollow> depth**?,colp- (meaning **of or pertaining to the vagina**)
GMDR000113,What does the Greek medical root **colp-** mean?,of or pertaining to the vagina
GMDR000114,What Greek medical root comes from the Greek **κόρη (kórē)> girl> doll; pupil of the eye**?,cor- (meaning **of or pertaining to the eye's pupil**)
GMDR000115,What does the Greek medical root **cor-** mean?,of or pertaining to the eye's pupil
GMDR000116,What Greek medical root comes from the Greek **κρίνω (krínō)> separate> divide> discern**?,-crine> crin(o)- (meaning **to secrete**)
GMDR000117,What does the Greek medical root **-crine> crin(o)-** mean?,to secrete
GMDR000118,What Greek medical root comes from the Greek **κρύος (krúos)> cold> frost**?,cry(o)-> cryo- (meaning **cold**)
GMDR000119,What does the Greek medical root **cry(o)-** mean?,cold
GMDR000120,What Greek medical root comes from the Greek **κύανος> κυάνεος (kúanos> kuáneos> blue> of the color blue)**?,cyan(o)-> cyano- (meaning **having a blue color**)
GMDR000121,What does the Greek medical root **cyan(o)-** mean?,having a blue color
GMDR000122,What Greek medical root comes from the Greek **κύκλος (kúklos)**?,cycl- (meaning **circle> cycle**)
GMDR000123,What does the Greek medical root **cycl-** mean?,circle> cycle
GMDR000124,What Greek medical root comes from the Greek **κυφός (kuphós)> bent> hunchback**?,cyph(o)-> cypho- (meaning **denotes something as bent (uncommon as a prefix)**)
GMDR000125,What does the Greek medical root **cyph(o)-** mean?,denotes something as bent (uncommon as a prefix)
GMDR000126,What Greek medical root comes from the Greek **κύστις (kústis)> bladder> cyst**?,cyst(o)-> cyst(i)-> cysto- (meaning **of or pertaining to the urinary bladder**)
GMDR000127,What does the Greek medical root **cyst(o)-> cyst(i)-** mean?,of or pertaining to the urinary bladder
GMDR000128,What Greek medical root comes from the Greek **κύτος (kútos)> a hollow> vessel**?,cyt(o)-> -cyte> cyto- (meaning **cell**)
GMDR000129,What does the Greek medical root **cyt(o)-> -cyte** mean?,cell
GMDR000130,What Greek medical root comes from the Greek **δάκρυ> tear**?,dacry(o)-> dacryo- (meaning **of or pertaining to tears**)
GMDR000131,What does the Greek medical root **dacry(o)-** mean?,of or pertaining to tears
GMDR000132,What Greek medical root comes from the Greek **δάκτυλος (dáktulos)> finger> toe**?,-dactyl(o)-> -dactylo- (meaning **of or pertaining to a finger> toe**)
GMDR000133,What does the Greek medical root **-dactyl(o)-** mean?,of or pertaining to a finger> toe
GMDR000134,What Greek medical root comes from the Greek **δέρμα> δέρματος (dérma> dérmatos)> skin> human skin**?,dermat(o)-> derm(o)-> dermato- (meaning **of or pertaining to the skin**)
GMDR000135,What does the Greek medical root **dermat(o)-> derm(o)-** mean?,of or pertaining to the skin
GMDR000136,What Greek medical root comes from the Greek **δέσις (désis)**?,-desis (meaning **binding**)
GMDR000137,What does the Greek medical root **-desis** mean?,binding
GMDR000138,What Greek medical root comes from the Greek **δι-**?,di- (meaning **two**)
GMDR000139,What does the Greek medical root **di-** mean?,two
GMDR000140,What Greek medical root comes from the Greek **διά (diá)> through> during> across**?,dia- (meaning **through> during> across**)
GMDR000141,What does the Greek medical root **dia-** mean?,through> during> across
GMDR000142,What Greek medical root comes from the Greek **διπλόος (diplóos)**?,diplo- (meaning **twofold**)
GMDR000143,What does the Greek medical root **diplo-** mean?,twofold
GMDR000144,What Greek medical root comes from the Greek **δίψα (dípsa)**?,-dipsia (meaning **(condition of) thirst**)
GMDR000145,What does the Greek medical root **-dipsia** mean?,(condition of) thirst
GMDR000146,What Greek medical root comes from the Greek **δρόμος (drómos)**?,dromo- (meaning **running> conduction> course**)
GMDR000147,What does the Greek medical root **dromo-** mean?,running> conduction> course
GMDR000148,What Greek medical root comes from the Greek **δύναμις (dúnamis)**?,dynam(o)-> dynamo- (meaning **force> energy> power**)
GMDR000149,What does the Greek medical root **dynam(o)-** mean?,force> energy> power
GMDR000150,What Greek medical root comes from the Greek **ὀδύνη (odúnē)**?,-dynia (meaning **pain**)
GMDR000151,What does the Greek medical root **-dynia** mean?,pain
GMDR000152,What Greek medical root comes from the Greek **δυσ- (dus-)**?,dys- (meaning **bad> difficult> defective> abnormal**)
GMDR000153,What does the Greek medical root **dys-** mean?,bad> difficult> defective> abnormal
GMDR000154,What Greek medical root comes from the Greek **ἐκ (ek)> out of> from**?,ec- (meaning **out> away**)
GMDR000155,What does the Greek medical root **ec-** mean?,out> away
GMDR000156,What Greek medical root comes from the Greek **ἐκτός (ektós)**?,ect(o)-> ecto- (meaning **outer> outside**)
GMDR000157,What does the Greek medical root **ect(o)-** mean?,outer> outside
GMDR000158,What Greek medical root comes from the Greek **ἔκτασις (éktasis)**?,-ectasia> -ectasis (meaning **expansion> dilation**)
GMDR000159,What does the Greek medical root **-ectasia> -ectasis** mean?,expansion> dilation
GMDR000160,What Greek medical root comes from the Greek **ἐκτομή (ektomḗ)> excision**?,-ectomy (meaning **denotes a surgical operation or removal of a body part; resection> excision**)
GMDR000161,What does the Greek medical root **-ectomy** mean?,denotes a surgical operation or removal of a body part; resection> excision
GMDR000162,What Greek medical root comes from the Greek **ἕμεσις (hémesis)**?,-emesis (meaning **vomiting condition**)
GMDR000163,What does the Greek medical root **-emesis** mean?,vomiting condition
GMDR000164,What Greek medical root comes from the Greek **αἷμα (haîma)> "blood"**?,-emia (meaning **blood condition (AmE)**)
GMDR000165,What does the Greek medical root **-emia** mean?,blood condition (AmE)
GMDR000166,What Greek medical root comes from the Greek **ἐγκέφαλος (enképhalos)> the brain**?,encephal(o)-> encephalo- (meaning **of or pertaining to the brain; see also cerebro-**)
GMDR000167,What does the Greek medical root **encephal(o)-** mean?,of or pertaining to the brain; see also cerebro-
GMDR000168,What Greek medical root comes from the Greek **ἔνδον (éndon)> inside> internal**?,endo- (meaning **denotes something as inside or within**)
GMDR000169,What does the Greek medical root **endo-** mean?,denotes something as inside or within
GMDR000170,What Greek medical root comes from the Greek **ἔντερον (énteron)> intestine**?,enter(o)-> entero- (meaning **of or pertaining to the intestine**)
GMDR000171,What does the Greek medical root **enter(o)-** mean?,of or pertaining to the intestine
GMDR000172,What Greek medical root comes from the Greek **ἠώς (ēṓs)> dawn> daybreak> morning red> goddess of the dawn (Ἠώς> Ēṓs)**?,eosin(o)-> eosino- (meaning **having a red color**)
GMDR000173,What does the Greek medical root **eosin(o)-** mean?,having a red color
GMDR000174,What Greek medical root comes from the Greek **ἐπι- (epi-)> before> upon> on> outside> outside of**?,epi- (meaning **on> upon**)
GMDR000175,What does the Greek medical root **epi-** mean?,on> upon
GMDR000176,What Greek medical root comes from the Greek **ἐπίσιον (epísion)> the pubic area> loins; vulva**?,episi(o)-> episio- (meaning **of or pertaining to the pubic region> the loins**)
GMDR000177,What does the Greek medical root **episi(o)-** mean?,of or pertaining to the pubic region> the loins
GMDR000178,What Greek medical root comes from the Greek **ἐρυθρός (eruthrós)> red**?,erythr(o)-> erythro- (meaning **having a red color**)
GMDR000179,What does the Greek medical root **erythr(o)-** mean?,having a red color
GMDR000180,What Greek medical root comes from the Greek **αἴσθησις (aísthēsis)> to perceive**?,esthesio- (meaning **sensation (AmE)**)
GMDR000181,What does the Greek medical root **esthesio-** mean?,sensation (AmE)
GMDR000182,What Greek medical root comes from the Greek **ἔξω (éxō)> outside of> external**?,exo- (meaning **denotes something as "outside" another**)
GMDR000183,What does the Greek medical root **exo-** mean?,denotes something as "outside" another
GMDR000184,What Greek medical root comes from the Greek **γάλα> γαλακτ- (gála> galakt-)**?,galact- (meaning **milk**)
GMDR000185,What does the Greek medical root **galact-** mean?,milk
GMDR000186,What Greek medical root comes from the Greek **γαστήρ> γαστρ- (gastḗr> gastr-)> stomach> belly**?,gastr- (meaning **of or pertaining to the stomach**)
GMDR000187,What does the Greek medical root **gastr-** mean?,of or pertaining to the stomach
GMDR000188,What Greek medical root comes from the Greek **-γενής (-genḗs)> from γεν-νάειν (gen-náein)> to be born**?,-gen (meaning **born in> from**)
GMDR000189,What does the Greek medical root **-gen** mean?,born in> from
GMDR000190,What Greek medical root comes from the Greek **-γενής (-genḗs)**?,-genic (meaning **formative; pertaining to producing**)
GMDR000191,What does the Greek medical root **-genic** mean?,formative; pertaining to producing
GMDR000192,What Greek medical root comes from the Greek **γεῦσις (geûsis)**?,-geusia (meaning **taste**)
GMDR000193,What does the Greek medical root **-geusia** mean?,taste
GMDR000194,What Greek medical root comes from the Greek **γλαυκός (glaukós)> grey> bluish-grey**?,glauc(o)-> glauco- (meaning **Having a grey or bluish-grey colour**)
GMDR000195,What does the Greek medical root **glauc(o)-** mean?,Having a grey or bluish-grey colour
GMDR000196,What Greek medical root comes from the Greek **γλῶσσα> γλῶττα (glôssa> glôtta)> tongue**?,gloss(o)-> glott(o)-> glosso- (meaning **of or pertaining to the tongue**)
GMDR000197,What does the Greek medical root **gloss(o)-> glott(o)-** mean?,of or pertaining to the tongue
GMDR000198,What Greek medical root comes from the Greek **γλυκύς (glukús)> sweet**?,gluco- (meaning **sweet**)
GMDR000199,What does the Greek medical root **gluco-** mean?,sweet
GMDR000200,What Greek medical root comes from the Greek **γλυκύς (glukús)> sweet**?,glyc- (meaning **sugar**)
GMDR000201,What does the Greek medical root **glyc-** mean?,sugar
GMDR000202,What Greek medical root comes from the Greek **γνάθος (gnáthos)> jaw**?,gnath- (meaning **of or pertaining to the jaw**)
GMDR000203,What does the Greek medical root **gnath-** mean?,of or pertaining to the jaw
GMDR000204,What Greek medical root comes from the Greek **γνῶσις (gnôsis)> inquiry> knowledge**?,-gnosis (meaning **knowledge**)
GMDR000205,What does the Greek medical root **-gnosis** mean?,knowledge
GMDR000206,What Greek medical root comes from the Greek **γόνος (gónos)> fruit> seed> procreating**?,gon- (meaning **seed> semen; reproductive**)
GMDR000207,What does the Greek medical root **gon-** mean?,seed> semen; reproductive
GMDR000208,What Greek medical root comes from the Greek **γράμμα (grámma)> picture> letter> writing> -γραφία (-graphía)> written> drawn> graphic interpretation**?,-gram> -gramme> -graph> -graphy (meaning **(instrument used to record or process of recording) data or picture**)
GMDR000209,What does the Greek medical root **-gram> -gramme> -graph> -graphy** mean?,(instrument used to record or process of recording) data or picture
GMDR000210,What Greek medical root comes from the Greek **γυνή> γυναικ (gunḗ> gunaik)**?,gyno-> gynaeco- (Brit.)> gyneco- (Amer.) (meaning **woman**)
GMDR000211,What does the Greek medical root **gyno-> gynaeco- (Brit.)> gyneco- (Amer.)** mean?,woman
GMDR000212,What Greek medical root comes from the Greek **αἷμα> (haîma)> blood**?,hema-> hemo- (meaning **blood (AmE)**)
GMDR000213,What does the Greek medical root **hema-> hemo-** mean?,blood (AmE)
GMDR000214,What Greek medical root comes from the Greek **αἷμα> (haîma)> blood> + ἀγγεῖον (angeîon)> vessel> urn**?,hemangi(o)-> hemangio- (meaning **blood vessels**)
GMDR000215,What does the Greek medical root **hemangi(o)-** mean?,blood vessels
GMDR000216,What Greek medical root comes from the Greek **ἡμι- (hēmi-)> half**?,hemi- (meaning **one-half**)
GMDR000217,What does the Greek medical root **hemi-** mean?,one-half
GMDR000218,What Greek medical root comes from the Greek **ἧπαρ> ἠπᾰτ- (hêpar> ēpat-)> the liver**?,hepat-> hepatic- (meaning **of or pertaining to the liver**)
GMDR000219,What does the Greek medical root **hepat-> hepatic-** mean?,of or pertaining to the liver
GMDR000220,What Greek medical root comes from the Greek **ἕτερος (héteros)> the other (of two)> another; different**?,heter(o)-> hetero- (meaning **denotes something as "the other" (of two)> as an addition> or different**)
GMDR000221,What does the Greek medical root **heter(o)-** mean?,denotes something as "the other" (of two)> as an addition> or different
GMDR000222,What Greek medical root comes from the Greek **ἱδρώς> ἱδρωτ- (hidrṓs> hidrōt-)> sweat> perspiration**?,hidr(o)-> hidro- (meaning **sweat**)
GMDR000223,What does the Greek medical root **hidr(o)-** mean?,sweat
GMDR000224,What Greek medical root comes from the Greek **ἱστός (histós)> web> tissue**?,hist(o)-> histio-> histo- (meaning **tissue**)
GMDR000225,What does the Greek medical root **hist(o)-> histio-** mean?,tissue
GMDR000226,What Greek medical root comes from the Greek **ὁμός (homós)> the same> common**?,hom(o)-> homo- (meaning **denotes something as "the same" as another or common**)
GMDR000227,What does the Greek medical root **hom(o)-** mean?,denotes something as "the same" as another or common
GMDR000228,What Greek medical root comes from the Greek **ὅμοιος (homoios)> like> resembling> similar**?,home(o)-> homeo- (meaning **similar**)
GMDR000229,What does the Greek medical root **home(o)-** mean?,similar
GMDR000230,What Greek medical root comes from the Greek **ὕδωρ (húdōr)> water**?,hydr(o)-> hydro- (meaning **water**)
GMDR000231,What does the Greek medical root **hydr(o)-** mean?,water
GMDR000232,What Greek medical root comes from the Greek **ὑπό> ὑπο- (hupó)> below> under**?,hyp(o)-> hypo- (meaning **below normal**)
GMDR000233,What does the Greek medical root **hyp(o)-** mean?,below normal
GMDR000234,What Greek medical root comes from the Greek **ὑπέρ (hupér)> over> above; beyond> to the extreme**?,hyper- (meaning **extreme or beyond normal**)
GMDR000235,What does the Greek medical root **hyper-** mean?,extreme or beyond normal
GMDR000236,What Greek medical root comes from the Greek **ὑστέρα (hustéra)> womb**?,hyster(o)-> hystero- (meaning **of or pertaining to the womb or the uterus**)
GMDR000237,What does the Greek medical root **hyster(o)-** mean?,of or pertaining to the womb or the uterus
GMDR000238,What Greek medical root comes from the Greek **ἰατρός (iatrós)> healer> physician**?,iatr(o)-> iatro- (meaning **of or pertaining to medicine or a physician (uncommon as a prefix but common as a suffix; see -iatry)**)
GMDR000239,What does the Greek medical root **iatr(o)-** mean?,of or pertaining to medicine or a physician (uncommon as a prefix but common as a suffix; see -iatry)
GMDR000240,What Greek medical root comes from the Greek **ἰατρός (iatrós)> healer> physician**?,-iatry (meaning **denotes a field in medicine emphasizing a certain body component**)
GMDR000241,What does the Greek medical root **-iatry** mean?,denotes a field in medicine emphasizing a certain body component
GMDR000242,What Greek medical root comes from the Greek **-ικός (-ikós)**?,-ic (meaning **pertaining to**)
GMDR000243,What does the Greek medical root **-ic** mean?,pertaining to
GMDR000244,What Greek medical root comes from the Greek **ἴδιος (ídios)> one's own**?,idio- (meaning **self> one's own**)
GMDR000245,What does the Greek medical root **idio-** mean?,self> one's own
GMDR000246,What Greek medical root comes from the Greek **εἰλεός (eileós)> to shut in> intestinal obstruction**?,ileo- (meaning **ileum**)
GMDR000247,What does the Greek medical root **ileo-** mean?,ileum
GMDR000248,What Greek medical root comes from the Greek **ἴσχω (ískhō)> hold back> restrain**?,isch- (meaning **restriction**)
GMDR000249,What does the Greek medical root **isch-** mean?,restriction
GMDR000250,What Greek medical root comes from the Greek **ἰσχίον (iskhíon)> hip-joint> ischium**?,ischio- (meaning **of or pertaining to the ischium> the hip-joint**)
GMDR000251,What does the Greek medical root **ischio-** mean?,of or pertaining to the ischium> the hip-joint
GMDR000252,What Greek medical root comes from the Greek **-ισμός (-ismós)> suffix forming abstract nouns of state> condition> doctrine**?,-ism (meaning **condition> disease**)
GMDR000253,What does the Greek medical root **-ism** mean?,condition> disease
GMDR000254,What Greek medical root comes from the Greek **-ισμός**?,-ismus (meaning **spasm> contraction**)
GMDR000255,What does the Greek medical root **-ismus** mean?,spasm> contraction
GMDR000256,What Greek medical root comes from the Greek **ἴσος (ísos)> equal**?,iso- (meaning **denoting something as being equal**)
GMDR000257,What does the Greek medical root **iso-** mean?,denoting something as being equal
GMDR000258,What Greek medical root comes from the Greek **-ιστής (-istḗs)> agent noun> one who practices**?,-ist (meaning **one who specializes in**)
GMDR000259,What does the Greek medical root **-ist** mean?,one who specializes in
GMDR000260,What Greek medical root comes from the Greek **-ῖτις (-îtis) fem. form of -ίτης (-ítēs)> pertaining to> because it was used with the feminine noun νόσος (nósos> disease)> thus -îtis nósos> disease of the> disease pertaining to**?,-itis (meaning **inflammation**)
GMDR000261,What does the Greek medical root **-itis** mean?,inflammation
GMDR000262,What Greek medical root comes from the Greek **κάρυον (káruon)> nut**?,kary- (meaning **nucleus**)
GMDR000263,What does the Greek medical root **kary-** mean?,nucleus
GMDR000264,What Greek medical root comes from the Greek **κέρας (kéras)> horn**?,kerat- (meaning **cornea (eye or skin)**)
GMDR000265,What does the Greek medical root **kerat-** mean?,cornea (eye or skin)
GMDR000266,What Greek medical root comes from the Greek **κινέω (kinéō)> to move> to change**?,kine- (meaning **movement**)
GMDR000267,What does the Greek medical root **kine-** mean?,movement
